value,total_count
not applicable,981074
missing,719370
feces,490491
human-associated habitat,442685
human gut,307999
not collected,260856
Ocean water,248611
faeces,219084
soil,216586
NA,146436
urban biome,143692
terrestrial biome,138684
stool,113995
water,112817
gut,88782
marine biome,77962
mouse gut,74890
animal-associated habitat,72366
human,71874
Faeces,63885
fecal material,61228
Feces,54659
saliva,46220
Soil,45792
fecal,42957
Intestinal,41990
Digestive tract enviroment,40384
ENVO:00002003,39147
fecal material [ENVO:00002003],38998
colonic_biopsy,37962
marine,37877
lake,37453
forest,36088
dense settlement biome,34453
sediment,34357
mouse digestive system,29920
bodily fluid,29896
Host-associated,29496
research facility,29349
Not applicable,28837
N/A,28670
human-gut,27974
Stool,27765
ENVO:human-associated habitat,27710
stomach,27485
cell line,27413
Gut,26025
Bos taurus,25887
organic material,24454
digestive tract environment,24011
seawater,23330
sea water,23189
anthropogenic environmental material,22970
coral reef,22602
gut microbiome,21090
intestine environment,21006
agricultural field,20704
human stool,20358
ENVO:2100002,20225
grassland biome,20106
air,19649
ENVO:00000428,19502
hospital,19442
Human,19018
sebum,18496
vagina,18492
farm,18306
Caecum,18292
ENVO:animal-associated habitat,17969
Human gut,17806
skin,17733
ENVO:00001998,17696
oral cavity,17518
terrestrial biome [ENVO:00000446],17515
rhizosphere,17225
plant,17097
freshwater,16603
soil biome [ENVO:01001044],16517
grassland,15190
forest biome,14892
Chicken digestive system,14816
Acid mine drainage sediment,14764
fresh water,14323
specimen from organism,14306
Not Applicable,14293
bulk soil,14199
Forest,14151
marine photic zone,14055
marine sediment,13807
Metagenome of Human Microbiome,13774
agricultural soil,13466
cropland biome,13442
Human Vagina,13374
Missing,13298
lentic water body,13141
human_stool,12794
Sediment,12733
marine layer,12722
root,12665
Water,12634
Rhizosphere,12585
marine biome [ENVO:00000447],12412
mucus,12342
woodland,12196
fecal sample,12192
Agricultural Land,12189
peat soil [ENVO:00005774],12175
sterile water,12151
soil [ENVO:00001998],12128
host-associated habitat,12102
Grassland,11963
stream,11961
anthropogenic terrestrial biome,11887
ocean,11683
river,11639
area of cropland,11483
aquatic biome,11459
groundwater,11252
freshwater biome,11157
subpolar biome [ENVO:01001834]|peatland [ENVO:00000044],11099
ENVO:feces,11094
Leaf,10850
coastal,10793
forest soil,10777
microbial feature,10735
oral,10619
intertidal zone,10609
Salt marsh,10586
human feces,10417
ENVO:0000903,10360
Saliva,10240
mammalia-associated habitat,10239
freshwater lake,10217
biofilm,10136
human oral cavity,10074
not provided,9909
greenhouse,9881
urban biome (ENVO:01000249),9844
ENVO:urban biome,9837
Antarctic saline lake,9798
fecal material (ENVO:00002003),9792
leaf,9748
microbiome,9723
field,9661
urban biome [ENVO:01000249],9615
excreta material [ENVO:02000022],9467
ENVO:01001033,9437
mouse,9370
Human saliva,9257
bodily fluid material biome [ENVO:02000019],9184
wastewater,9150
swab,9056
fecal environment,8717
urban,8716
organic feature,8623
human gut microbiome,8613
ENVO:00010483,8572
Rumen,8566
agricultural soil [ENVO:00002259],8515
Microbiome,8466
plant matter,8435
sludge,8283
fecal environment [ENVO:01001029],8153
Amies transport medium,8026
human skin,8012
Activated Sludge [ENVO:00002046],7797
animal-associated environment,7787
plant-associated habitat,7784
temperate biome,7762
Human digestive system,7753
urine,7702
estuarine biome,7674
vegetative shoot system,7668
Freshwater,7627
hominid body,7592
city,7584
ENVO:00000062,7538
UBERON:0001988,7508
not aplicable,7451
host-associated,7440
biological sample,7387
ENVO:00000446,7382
supragingival dental plaque,7286
Seawater,7179
nasal cavity,7152
intestine,7103
Wastewater,7094
intestine environment [ENVO:2100002],7087
sewage,7020
sea water [ENVO:00002149],6999
Human Gut - fecal,6906
estuarine biome [ENVO:01000020],6899
digestive tract,6876
laboratory,6828
anatomical entity environment,6797
aquatic,6786
Waste Water [ENVO:00002001],6775
Activated sludge,6773
temperate grassland,6767
tissue,6763
wastewater treatment plant,6735
mud,6716
digestive tract environment [ENVO:01001033],6715
Marine,6596
unknown,6596
Root,6583
Human-associated habitat,6580
aquatic biome [ENVO:00002030],6556
ENVO:01001029,6549
Wetland,6509
rice field,6508
epithelium of vagina,6487
-,6451
Fecal,6442
human body,6391
ocean biome,6380
freshwater ecosystem,6252
lower digestive tract,6164
lung,6117
Lake,6117
temperate forest,6102
village biome,6064
terrestrial,6007
Cecum,5958
freshwater lake biome,5948
ENVO:00000447,5946
Skin,5941
dust,5923
feces [UBERON:0001988],5876
colon,5858
Bulk soil,5846
Gut microbiome,5832
ENVO:00009003,5816
human-associated habitat [ENVO:00009003],5811
Small river biome,5787
human-vaginal,5778
vaginal swab,5768
Vineyard,5739
Salt marsh sediment,5724
laboratory environment [ENVO:01001405],5671
Caeca,5652
ENVO:cropland biome,5647
temperate,5637
Gut contents,5635
Gallus gallus domesticus,5616
Digesta,5557
Colon,5541
Greenhouse,5500
ENVO:01000245,5487
Homo sapiens,5470
anthropogenic environment [ENVO:01000313],5422
sputum,5418
estuarine water,5391
ENVO:dense settlement biome,5360
Agricultural field,5350
marine benthic biome,5288
bioreactor,5209
Lung,5194
blood,5166
Mouse gut,5155
agricultural,5148
oral_swab,5145
coastal sea water [ENVO:00002150],5126
building,5122
infant,5113
missing: sample group,5104
cell culture,5092
estuarine water [ENVO:01000301],5079
Rumen contents,5035
Common garden,5032
microbial community [PCO:1000004],5032
shoreline,5024
fluvial,4994
Aquatic,4979
individual,4978
coast,4939
ENVO:01001055,4937
ENVO:mammalia-associated habitat,4903
Field,4895
human digestive system,4884
Gastrointestinal tract,4872
human-associated,4865
marine pelagic biome,4849
Agricultural soil,4820
stream sediment,4811
marine biome (ENVO:00000447),4755
Oral,4726
open ocean,4689
Hot spring sediment,4661
Pig digestive system,4655
Northwestern North America,4619
university campus,4612
woodland biome,4609
ENVO_00002003,4522
cropland,4509
rumen,4467
Coastal areas,4415
Not collected,4406
airway,4398
microbial community,4387
Sputum,4363
orchard,4359
Temperate Forest,4347
DNA,4302
cecum,4263
mouth,4262
not available,4249
pond,4248
human-oral,4247
Laboratory,4243
human microbiome,4205
temperate woodland biome,4199
estuary,4165
skin swab,4164
soil biome,4158
landfill [ENVO:00000533],4155
caecal content,4146
feces [ENVO:00002003],4136
saline water,4112
marine abyssal zone biome,4083
honey bee colony,4074
chicken fecal sample,4057
activated sludge,4050
digesta,4049
skin environment,4043
pasture,4036
marine oligotrophic desert,4030
Brackish water,4030
offshore,4019
tundra biome,4008
small lake biome,4007
surface water,4002
a,3998
River,3983
agriculture,3977
"metagenome/environmental, human-associated [ENVO:00000428]",3966
habitat,3949
organic material feature,3915
anaerobic bioreactor,3911
soil environment,3878
environment associated with an animal part or small animal [ENVO:01001055],3851
Engineered,3847
coastal sea water,3842
human oral,3820
ENVO:02000036,3779
mangrove biome,3772
Coastal,3729
desert,3710
Hydrothermal vent sediment,3710
temperate grassland biome,3707
Digestive system,3690
mountain,3679
Vagina,3665
anaerobic digester microbiome,3658
Rumen content,3636
Human Gut,3630
Human stool,3628
deep marine sediment,3615
none,3606
insecta-associated habitat,3604
temperate forest biome,3597
root matter,3588
ENVO:00005802,3567
gastrointestinal tract,3565
cultivated environment,3556
rhizosphere soil,3553
ENVO:00000114,3545
reef,3515
pig,3510
anthropogenic terrestrial biome [ENVO:01000219],3503
Human Microbiome,3503
Mipro,3497
ENVO:01001243,3488
organism-associated habitat,3481
ENVO:00002149,3477
Ocean,3471
agricultural feature,3450
whole body,3434
farmland,3431
Sheep digestive system,3430
respiratory tract,3415
ENVO:01000198,3412
faecal matter,3409
lake water,3408
microbial mat,3383
Common Garden,3381
gut microbiome of insect herbivore,3359
freshwater reservoir,3353
human biome,3287
ocean water,3268
Oceanic,3242
waste water [ENVO:00002001 ],3236
temperate terrestrial ecosystem,3234
Terrestrial,3230
wood,3208
tundra,3198
oronasal secretion,3197
Saline lake water,3168
feces ENVO:00002003,3160
ENVO:00010505,3145
Antarctic oligotrophic lake,3134
intestine environment (ENVO:2100002),3123
15,3122
Swab,3122
freshwater habitat,3118
anaerobic sludge,3107
Rumen fluid,3106
vineyard,3103
Grape Must,3102
2225,3091
1000005,3091
rangeland biome,3089
Tongue swab,3072
feces metagenome,3071
Intestine,3069
Artificial Surfaces,3064
Sea water,3063
Pharyngeal/Respiratory Flora,3057
Nasal Wash,3057
food material [FOODON:00002403],3053
organic,3049
human_gut,3024
Vaginal fluid,3024
marine water,3023
Faecal,3015
organ,3014
plant matter [ENVO:01001121],2999
plant roots,2996
not applicable',2994
plaque,2993
cultivated soil,2982
tongue,2981
anthropogenic terrestrial,2979
epilimnion,2972
peat,2968
water column,2962
boreal forest,2946
ileum,2942
intertidal zone [ENVO:00000316],2934
rectum,2919
human-skin,2892
Rhizosphere soil,2889
organism,2879
millet root,2879
millet root habitat,2879
freshwater river biome[ENVO:01000253],2872
microbial feature [ENVO:00002150],2871
Plants,2858
deciduous woodland,2854
Hot spring phototrophic mat,2838
rectal swab,2832
ciliate culture,2829
Human gut microbiome,2799
hive debris,2781
Ileum,2781
Fecal microbiome,2781
milk,2773
ENVO:00002043,2763
non applicable,2762
Severely preterm infant,2744
Blood,2736
environmental system,2718
stool sample,2715
Ruminant,2712
deadwood,2706
meadow,2701
sea,2693
Gut microbiota,2680
anaerobic,2680
area of cropland [ENVO:01000892],2679
surface,2667
ENVO:01000219,2666
Deep-sea hydrothermal deposit,2658
natural environment,2652
Human vagina,2645
Hospital,2638
ENVO_2100003,2636
marine sub-littoral zone,2635
ENVO:00002259,2635
sand,2634
chicken intestine,2618
not_applicable,2598
Soda lake,2592
marine water body,2581
temperate broadleaf forest,2580
nasal,2575
ENVO:00002018,2560
field soil,2553
Forest soil,2549
mid-vaginal swab,2547
sewage treatment plant,2539
human gut biome,2536
Tissue,2519
freshwater river,2511
digestive tract environment[ENVO:01001033],2506
kelp forest,2503
mid-vaginal wall,2501
tropical woodland biome,2494
Human microbiome,2480
gut content,2477
Terrestrial biome,2473
Human oral cavity,2463
forest biome [ENVO:01000174],2448
mucosa,2442
wetland,2420
indoor,2416
n/a,2413
ocean biome [ENVO:01000048],2412
[ENVO:00000428],2397
Hot spring,2391
trachea,2388
skin environment (ENVO:2100003),2388
vaginal,2384
Tumor Microbiome,2379
control,2377
Permafrost,2376
beech forest,2375
Hydrothermal vent sulfide rock,2370
Antarctic Ocean,2366
Tundra,2365
feces(ENVO:00002003),2364
cecal content,2358
marine_oligotrophic_desert,2358
marine_abyssal_zone_biome,2358
fecal microbiome,2339
biofilm material,2338
marine hydrothermal vent biome [ENVO:01000030],2331
skin of body (UBERON:0002097),2327
river water,2327
tracheal aspirate,2321
lake sediment,2309
Biofilm,2308
natural Grassland,2302
ENVO:00002150,2302
aquatic biome [ENVO_00002030],2279
marine benthic biome (ENVO:01000024),2277
human skin oral gut,2271
large river biome,2263
pelagic,2248
UBERON:0000160,2246
terrestrial biome ENVO:00000446,2241
nearshore,2239
ENVO:01001000,2231
ENVO:2100003,2226
Peat permafrost,2210
harmful algal bloom community structure,2208
gut biome,2205
coral reef [ENVO:00000150],2197
Roots,2193
Human feces,2177
vaginal wall swab,2176
rain forest,2170
Mid vagina,2164
root tip,2156
host tissue,2152
biome,2149
ENVO:01000249,2146
permafrost,2144
marine sediment (ENVO:00002113),2142
coastal sea water [ENVO: 00002150],2142
grassland soil,2142
groundwater planktonic microbiome,2142
Forest biome,2138
paddy soil,2137
gut microbiota,2130
anearobic digestion,2122
peatland,2118
excreta,2118
Human skin,2112
multicellular organism [UBERON:0000468],2108
Metagenome,2107
soil [ENVO: 00001998],2104
adult sponge tissue,2102
Synthetic gut microbial community,2100
microbiome in human oral,2092
ENVO:02000022,2086
Coral reef,2084
Glacial lake ice surface mat,2078
