raw_text,portion_parsed,normalized_curie,normalized_label,count
not applicable,not applicable,,not applicable,981074
missing,missing,,missing,719370
feces,feces,,feces,490491
human-associated habitat,human-associated habitat,,human-associated habitat,442685
human gut,human gut,,human gut,307999
not collected,not collected,,not collected,260856
Ocean water,Ocean water,,Ocean water,248611
faeces,faeces,,faeces,219084
soil,soil,,soil,216586
NA,NA,,NA,146436
urban biome,urban biome,,urban biome,143692
terrestrial biome,terrestrial biome,,terrestrial biome,138684
stool,stool,,stool,113995
water,water,,water,112817
gut,gut,,gut,88782
marine biome,marine biome,,marine biome,77962
mouse gut,mouse gut,,mouse gut,74890
animal-associated habitat,animal-associated habitat,,animal-associated habitat,72366
human,human,,human,71874
Faeces,Faeces,,Faeces,63885
fecal material,fecal material,,fecal material,61228
Feces,Feces,,Feces,54659
saliva,saliva,,saliva,46220
Soil,Soil,,Soil,45792
fecal,fecal,,fecal,42957
Intestinal,Intestinal,,Intestinal,41990
Digestive tract enviroment,Digestive tract enviroment,,Digestive tract enviroment,40384
ENVO:00002003,ENVO:00002003,ENVO:00002003,,39147
fecal material [ENVO:00002003],fecal material [ENVO:00002003],ENVO:00002003,fecal material,38998
colonic_biopsy,colonic_biopsy,,colonic_biopsy,37962
marine,marine,,marine,37877
lake,lake,,lake,37453
forest,forest,,forest,36088
dense settlement biome,dense settlement biome,,dense settlement biome,34453
sediment,sediment,,sediment,34357
mouse digestive system,mouse digestive system,,mouse digestive system,29920
bodily fluid,bodily fluid,,bodily fluid,29896
Host-associated,Host-associated,,Host-associated,29496
research facility,research facility,,research facility,29349
Not applicable,Not applicable,,Not applicable,28837
N/A,N/A,,N/A,28670
human-gut,human-gut,,human-gut,27974
Stool,Stool,,Stool,27765
ENVO:human-associated habitat,ENVO:human-associated habitat,,ENVO:human-associated habitat,27710
stomach,stomach,,stomach,27485
cell line,cell line,,cell line,27413
Gut,Gut,,Gut,26025
Bos taurus,Bos taurus,,Bos taurus,25887
organic material,organic material,,organic material,24454
digestive tract environment,digestive tract environment,,digestive tract environment,24011
seawater,seawater,,seawater,23330
sea water,sea water,,sea water,23189
anthropogenic environmental material,anthropogenic environmental material,,anthropogenic environmental material,22970
coral reef,coral reef,,coral reef,22602
gut microbiome,gut microbiome,,gut microbiome,21090
intestine environment,intestine environment,,intestine environment,21006
agricultural field,agricultural field,,agricultural field,20704
human stool,human stool,,human stool,20358
ENVO:2100002,ENVO:2100002,ENVO:2100002,,20225
grassland biome,grassland biome,,grassland biome,20106
air,air,,air,19649
ENVO:00000428,ENVO:00000428,ENVO:00000428,,19502
hospital,hospital,,hospital,19442
Human,Human,,Human,19018
sebum,sebum,,sebum,18496
vagina,vagina,,vagina,18492
farm,farm,,farm,18306
Caecum,Caecum,,Caecum,18292
ENVO:animal-associated habitat,ENVO:animal-associated habitat,,ENVO:animal-associated habitat,17969
Human gut,Human gut,,Human gut,17806
skin,skin,,skin,17733
ENVO:00001998,ENVO:00001998,ENVO:00001998,,17696
oral cavity,oral cavity,,oral cavity,17518
terrestrial biome [ENVO:00000446],terrestrial biome [ENVO:00000446],ENVO:00000446,terrestrial biome,17515
rhizosphere,rhizosphere,,rhizosphere,17225
plant,plant,,plant,17097
freshwater,freshwater,,freshwater,16603
soil biome [ENVO:01001044],soil biome [ENVO:01001044],ENVO:01001044,soil biome,16517
grassland,grassland,,grassland,15190
forest biome,forest biome,,forest biome,14892
Chicken digestive system,Chicken digestive system,,Chicken digestive system,14816
Acid mine drainage sediment,Acid mine drainage sediment,,Acid mine drainage sediment,14764
fresh water,fresh water,,fresh water,14323
specimen from organism,specimen from organism,,specimen from organism,14306
Not Applicable,Not Applicable,,Not Applicable,14293
bulk soil,bulk soil,,bulk soil,14199
Forest,Forest,,Forest,14151
marine photic zone,marine photic zone,,marine photic zone,14055
marine sediment,marine sediment,,marine sediment,13807
Metagenome of Human Microbiome,Metagenome of Human Microbiome,,Metagenome of Human Microbiome,13774
agricultural soil,agricultural soil,,agricultural soil,13466
cropland biome,cropland biome,,cropland biome,13442
Human Vagina,Human Vagina,,Human Vagina,13374
Missing,Missing,,Missing,13298
lentic water body,lentic water body,,lentic water body,13141
human_stool,human_stool,,human_stool,12794
Sediment,Sediment,,Sediment,12733
marine layer,marine layer,,marine layer,12722
root,root,,root,12665
Water,Water,,Water,12634
Rhizosphere,Rhizosphere,,Rhizosphere,12585
marine biome [ENVO:00000447],marine biome [ENVO:00000447],ENVO:00000447,marine biome,12412
mucus,mucus,,mucus,12342
woodland,woodland,,woodland,12196
